last,first,votenum,votepct,district,namewhite,candidate,trump,trumppct
Ihrke,Ann,652,0.0021,16,0.9617,Fiorina,0,0.3185
Valdivieso,Christopher,564,0.0018,16,0.1179,Paul,0,0.3185
Mennecke,Rich,338,0.0011,16,0.9643,Fiorina,0,0.3185
Margraf,Michael,279,0.0009,16,0.9919,Santorum,0,0.3185
Brenner,James,277,0.0009,16,0.9615,Santorum,0,0.3185
Harlan,Patrick,26797,0.1234,17,0.8693,Cruz,0,0.324
Nordstrom,Rich,24755,0.114,17,0.9659,Trump,1,0.324
Conklin,Richard,24712,0.1138,17,0.9437,Cruz,0,0.324
Taylor,Jennifer,23495,0.1082,17,0.678,Trump,1,0.324
Leininger,Deborah,23187,0.1068,17,0.9708,Cruz,0,0.324
Uribe,Jim,22092,0.1018,17,0.0613,Trump,1,0.324
Tennant,Aaron,11307,0.0521,17,0.9051,Kasich,0,0.324
Weber,Jan,11092,0.0511,17,0.9558,Kasich,0,0.324
Madunic,Adrian,10255,0.0472,17,0.95,Kasich,0,0.324
Schilling,Bobby,8953,0.0412,17,0.9652,Rubio,0,0.324
Albracht,Bill,5184,0.0239,17,0.9732,Rubio,0,0.324
Burress,Mary,4820,0.0222,17,0.8124,Rubio,0,0.324
Hadley,Bill,4093,0.0189,17,0.798,Bush,0,0.324
Schlichting,Todd,2648,0.0122,17,0.9626,Bush,0,0.324
Sacia,James,2629,0.0121,17,0.96,Carson,0,0.324
Snyder,Gary,1988,0.0092,17,0.9537,Bush,0,0.324
Umholtz,Stewart,1506,0.0069,17,0.9689,Carson,0,0.324
Borowski,Pamela,1427,0.0066,17,0.9724,Carson,0,0.324
Christ,Russell,1250,0.0058,17,0.9519,Huckabee,0,0.324
Boccarossa,Jack,870,0.004,17,0.95,Christie,0,0.324
Evans,Laura,755,0.0035,17,0.7065,Fiorina,0,0.324
Steffen,Kenneth,664,0.0031,17,0.9716,Christie,0,0.324
Meagher,Kelly,611,0.0028,17,0.9674,Christie,0,0.324
Harting,Ben,520,0.0024,17,0.9572,Paul,0,0.324
Smith,Matthew,498,0.0023,17,0.7335,Fiorina,0,0.324
French,Elisha,472,0.0022,17,0.8774,Paul,0,0.324
Zahm,Jon,304,0.0014,17,0.9683,Santorum,0,0.324
Grunow,William,201,0.0009,17,0.9638,Fiorina,0,0.324
Flynn,Michael,48453,0.1233,18,0.9364,Cruz,0,0.2739
Newcom,Lee,43450,0.1105,18,0.9779,Cruz,0,0.2739
Gramm,Christian,42363,0.1078,18,0.9392,Cruz,0,0.2739
Gray,Kent,37487,0.0954,18,0.7113,Trump,1,0.2739
Graff,William,35450,0.0902,18,0.9637,Trump,1,0.2739
Yeh,Sandra,34705,0.0883,18,0.0291,Trump,1,0.2739
Tracy,Jil,23581,0.06,18,0.925,Kasich,0,0.2739
Frese,Randy,21455,0.0546,18,0.9411,Kasich,0,0.2739
LaHood,Darin,19630,0.0499,18,0.9542,Rubio,0,0.2739
Woehrmann,Erik,17716,0.0451,18,0.9719,Kasich,0,0.2739
Edgar,Jim,15182,0.0386,18,0.8976,Bush,0,0.2739
Unes,Michael,9668,0.0246,18,0.5,Rubio,0,0.2739
Brady,Bill,9467,0.0241,18,0.8902,Bush,0,0.2739
Barickman,Jason,8839,0.0225,18,0.9907,Rubio,0,0.2739
Poe,Raymond,6014,0.0153,18,0.8214,Bush,0,0.2739
Weaver,Chuck,3066,0.0078,18,0.8571,Fiorina,0,0.2739
Browning,Robert,2960,0.0075,18,0.8899,Christie,0,0.2739
Hanks,Judith,2127,0.0054,18,0.8546,Carson,0,0.2739
Broockhart,Mary,2088,0.0053,18,0.8938,Christie,0,0.2739
Thompson,Donna,1821,0.0046,18,0.7248,Christie,0,0.2739
Hoppock,Matthew,1694,0.0043,18,0.9712,Carson,0,0.2739
Wailand,Steven,1681,0.0043,18,0.9728,Carson,0,0.2739
Rasmussen,Kristina,1293,0.0033,18,0.9602,Fiorina,0,0.2739
Blankenship,Elizabeth,995,0.0025,18,0.9498,Paul,0,0.2739
Brooks,Mike,839,0.0021,18,0.6272,Paul,0,0.2739
Chiles,Phil,587,0.0015,18,0.6331,Fiorina,0,0.2739
Tarvin,Timothy,502,0.0013,18,0.8345,Paul,0,0.2739
